likes,body,url
24,"Тебя ждет серия мастер-классов по программированию.

🔐 Бесплатный доступ по ссылке 👉 https://vk.cc/9L8UMR.
Смотри список тем и выбирай только нужные мастер-классы!

Ты получишь:
✔ план развития программиста;
✔ живое общение с успешными разработчиками;
✔ подробный гайд по созданию полноценных проектов.

Присоединяйся!",https://sun9-6.userapi.com/c850532/v850532047/1a889d/TLRGp2EOc50.jpg
1982,Визуализация различных алгоритмов сортировки,https://sun9-6.userapi.com/c850532/v850532047/1a889d/TLRGp2EOc50.jpg
1586,RISCованное занятие,https://sun9-45.userapi.com/c850220/v850220530/1d675a/YA-v8K5AV-g.jpg
2182,Как заканчивается любой фикс бага сразу на проде,https://sun9-45.userapi.com/c850220/v850220530/1d675a/YA-v8K5AV-g.jpg
2476,Такое и в кошмаре не приснится,https://sun9-31.userapi.com/c854028/v854028878/e0631/NrtNJdNH4i4.jpg
1205,"Самое важное, что нужно знать программисту",https://sun9-63.userapi.com/c854532/v854532417/df579/9s5hjXtZP70.jpg
1912,Без тестов нынче никуда,https://sun9-71.userapi.com/c851136/v851136169/1ada9b/zEyjvrQ-EQc.jpg
2399,Что вы знаете о роскоши?,https://sun9-8.userapi.com/c854124/v854124807/bd693/x8SO4auTABQ.jpg
498,За таким способом ввода будущее,https://sun9-8.userapi.com/c854124/v854124807/bd693/x8SO4auTABQ.jpg
1197,"Как только ты думаешь, что покрыл все крайние случаи, так обязательно вылезет еще один",https://sun9-27.userapi.com/c854124/v854124807/bd670/JfH0ksEKLZI.jpg
19,"Хотите быть в курсе не только свежих айтишных мемов, но и свежих айтишных новостей? Тогда вам в [club142206011|Tproger Live].

Там мы рассказываем о релизах, исследованиях, новых дырах в безопасности и утечках данных.
 
Подписывайтесь: https://vk.com/tprogerlive",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
628,Классическая ситуация,https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
17,"Проверьте свои знания по сетевым технологиям, искуственному интеллекту, Python, или просто общее понимание IT.

Регистрируемся, жмём «Участвовать в викторине», выбираем тему. Вам подберут соперника (реального человека!) и начнётся игра.

Поучаствовать в викторине: https://tprg.ru/gUeI

Это #партнёрский пост",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1230,"Что делают программисты, пока их код компилится",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1512,"Я во время учебы в университете: Так, ну мы изучили машинное обучение, системы искусственного интеллекта, как правильно проектировать системную архитектуру, кучу специфических языков программирования. Еще я умею в абстрактную алгебру и матан.

Я на работе: *Трачу 2 часа, чтобы вывести кнопку по центру*",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1221,Нашли в серверной,https://sun9-8.userapi.com/c851232/v851232762/18be01/lK-604o8OSo.jpg
1359,В программисте кипит постоянная битва,https://sun9-42.userapi.com/c851232/v851232762/18bdf8/fyNTJIHDeNM.jpg
